iter	MAE
0	0.0567944736
1	0.04896999309
2	0.0432791862
3	0.03901627786
4	0.0350203327
5	0.03286003586
6	0.03042664111
7	0.02904572822
8	0.02739163774
9	0.02695848806
10	0.02573121339
11	0.02505867376
12	0.02392100146
13	0.02314632854
14	0.0226645517
15	0.02179066854
16	0.02136246969
17	0.02094920794
18	0.02029336116
19	0.01986639069
20	0.01947060206
21	0.01971854774
22	0.01848963463
23	0.01912211914
24	0.01851191574
25	0.01906737858
26	0.01830454487
27	0.01838307677
28	0.01809392215
29	0.01881894054
30	0.01726701085
31	0.01766244922
32	0.0176190674
33	0.01715885045
34	0.01747817131
35	0.01785837231
36	0.01731462
37	0.01726621544
38	0.0168154242
39	0.01621798344
40	0.01690352846
41	0.01642190423
42	0.01641902911
43	0.01660397098
44	0.01679039266
45	0.01602902267
46	0.01665970859
47	0.01625499104
48	0.01612150263
49	0.01553967715
50	0.01654006016
51	0.01533177004
52	0.01606164347
53	0.01502582522
54	0.01667043268
55	0.01571783168
56	0.01609760916
57	0.01626182585
58	0.01665707359
59	0.01588825167
60	0.0164542886
61	0.01615078945
62	0.01625938779
63	0.01567455292
64	0.01656633714
65	0.01537161144
66	0.01643103786
67	0.01577235931
68	0.01612082431
69	0.01587903558
70	0.01665529998
71	0.01555908241
72	0.0159790641
73	0.01577332507
74	0.01553916513
75	0.01538786694
76	0.01557925134
77	0.01570053268
78	0.01546392825
79	0.01533848603
80	0.01463452442
81	0.01524420288
82	0.0150018396
83	0.01486214855
84	0.01553922317
85	0.0154897653
86	0.01532352579
87	0.01514046981
88	0.01522647215
89	0.01527032247
90	0.01597340697
91	0.01506868435
92	0.01498988322
93	0.01597362368
94	0.01519804515
95	0.01521129299
96	0.01515437086
97	0.01524497487
98	0.01530982415
99	0.01599325064
100	0.01516380105
101	0.01476328304
102	0.01510143132
103	0.01474661656
104	0.01542069957
105	0.01550372731
106	0.01523618937
107	0.01561515005
108	0.01520930064
109	0.01540989213
110	0.01526630702
111	0.01579311534
112	0.01566411414
113	0.01563956622
114	0.01537273657
115	0.01567224315
116	0.0152549426
117	0.01488325675
118	0.01496430892
119	0.01496777648
120	0.01530591879
121	0.01543021173
122	0.01527434605
123	0.01526256815
124	0.01523636466
125	0.01508929511
126	0.01460983254
127	0.01547167641
128	0.01501601209
129	0.01529110239
130	0.01506930821
131	0.01550288502
132	0.0150259548
133	0.01556837665
134	0.01514940469
135	0.01558868607
136	0.01497116359
137	0.01535163083
138	0.01472086797
139	0.01517250684
140	0.01504435906
141	0.01566313703
142	0.01467989044
143	0.01521345277
144	0.01492769808
145	0.01549996774
146	0.01513337917
147	0.01540008203
148	0.01517567582
149	0.01538002965
150	0.01503771275
151	0.01443236287
152	0.01488237843
153	0.01543362858
154	0.01529268434
155	0.01524823782
156	0.01488769515
157	0.01513594838
158	0.01485891422
159	0.0146047484
160	0.01476352786
161	0.01438421951
162	0.01487902473
163	0.01497951954
164	0.01421897069
165	0.01451336699
166	0.01440072675
167	0.01482877361
168	0.01476520036
169	0.01505389806
170	0.01465681361
171	0.01465808923
172	0.01463277217
173	0.01526234911
174	0.01476075839
175	0.01537920734
176	0.01489785755
177	0.01539617316
178	0.01492908652
179	0.01542023749
180	0.01484347975
181	0.01501872486
182	0.01508164111
183	0.01517375951
184	0.01507970287
185	0.01513878223
186	0.01515681986
187	0.01553510171
188	0.01503767322
189	0.01526268347
190	0.01484832051
191	0.01485972712
192	0.01516028244
193	0.01518899993
194	0.01516155775
195	0.0150716516
196	0.01514214281
197	0.0150141532
198	0.0148007345
199	0.01452339658
